Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
144.460241635273;0.83740234375;0;1;-4.21142578125006E-06;10 mA
144.660241634768;0.83160400390625;0.199999999495049;2;-3.96728515625E-06;10 mA
144.860241634263;0.82733154296875;0.399999998990097;3;-3.662109375E-06;10 mA
145.060241633758;0.8233642578125;0.599999998485146;4;-5.79833984375028E-07;10 mA
145.260241633253;0.8197021484375;0.799999997980194;5;-8.54492187500055E-07;10 mA
145.460241632748;0.816650390625;0.999999997475243;6;-2.19726562499994E-06;10 mA
145.660241632243;0.8135986328125;1.19999999697029;7;-2.77709960937497E-06;10 mA
145.860241631738;0.81085205078125;1.39999999646534;8;-4.82177734375006E-06;10 mA
146.060241631233;0.80841064453125;1.59999999596039;9;-3.662109375E-06;10 mA
146.260241630728;0.8056640625;1.79999999545544;10;-1.95312500000003E-06;10 mA
146.460241630223;0.80352783203125;1.99999999495049;11;-3.35693359374972E-07;10 mA
146.660241629718;0.80108642578125;2.19999999444553;12;-4.39453125000003E-06;10 mA
146.860241629214;0.7989501953125;2.39999999394058;13;-3.29589843750006E-06;10 mA
147.060241628709;0.79681396484375;2.59999999343563;14;-4.79125976562494E-06;10 mA
147.260241628204;0.79498291015625;2.79999999293068;15;-2.01416015624997E-06;10 mA
147.460241627699;0.7928466796875;2.99999999242573;16;-4.15039062499997E-06;10 mA
147.660241627194;0.791015625;3.19999999192078;17;-3.72314453124994E-06;10 mA
147.860241626689;0.7891845703125;3.39999999141583;18;-4.88281249999972E-07;10 mA
148.060241626184;0.787353515625;3.59999999091087;19;-3.32641601562503E-06;10 mA
148.260241625679;0.7855224609375;3.79999999040592;20;-1.00708007812506E-06;10 mA
148.460241625174;0.78369140625;3.99999998990097;21;-6.40869140624972E-07;10 mA
148.660241624669;0.7818603515625;4.19999998939602;22;-4.15039062499997E-06;10 mA
148.860241624164;0.7806396484375;4.39999998889107;23;-3.17382812500003E-06;10 mA
149.060241623659;0.77880859375;4.59999998838612;24;-4.425048828125E-06;10 mA
149.260241623154;0.77728271484375;4.79999998788116;25;-1.80053710937503E-06;10 mA
149.460241622649;0.7757568359375;4.99999998737621;26;-4.08935546875003E-06;10 mA
149.660241622144;0.77392578125;5.19999998687126;27;-3.57055664062494E-06;10 mA
149.860241621639;0.77239990234375;5.39999998636631;28;-1.70898437499997E-06;10 mA
150.060241621134;0.7708740234375;5.59999998586136;29;-1.70898437499997E-06;10 mA
150.260241620629;0.76934814453125;5.79999998535641;30;-4.63867187499994E-06;10 mA
150.460241620124;0.76812744140625;5.99999998485146;31;-2.68554687500006E-06;10 mA
