Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
4.96423198746652;0.5224609375;0;1;-0.000465087890625;10 mA;
5.16423198696157;0.40411376953125;0.199999999495049;2;-0.00046490478515625;10 mA;
5.36423198645662;0.330413818359375;0.399999998990097;3;-0.000463592529296875;10 mA;
5.56423198595166;0.27398681640625;0.599999998485146;4;-0.00046112060546875;10 mA;
5.76423198544671;0.223785400390625;0.799999997980194;5;-0.0004615478515625;10 mA;
5.96423198494176;0.175933837890625;0.999999997475243;6;-0.00046453857421875;10 mA;
6.16423198443681;0.129058837890625;1.19999999697029;7;-0.00046295166015625;10 mA;
6.36423198393186;0.0819091796875;1.39999999646534;8;-0.0004661865234375;10 mA;
6.56423198342691;0.034796142578125;1.59999999596039;9;-0.0004649658203125;10 mA;
6.76423198292196;-0.011138916015625;1.79999999545544;10;-0.0004635009765625;10 mA;
6.964231982417;-0.0555419921875;1.99999999495049;11;-0.00046380615234375;10 mA;
7.16423198191205;-0.0982666015625;2.19999999444553;12;-0.000464263916015625;10 mA;
7.3642319814071;-0.139007568359375;2.39999999394058;13;-0.000465087890625;10 mA;WE(1).Potential < -0,1 V
7.56423198090215;-0.176910400390625;2.59999999343563;14;-0.000463104248046875;10 mA;WE(1).Potential < -0,1 V
7.7642319803972;-0.21087646484375;2.79999999293068;15;-0.000461456298828125;10 mA;WE(1).Potential < -0,1 V
7.96423197989225;-0.24029541015625;2.99999999242573;16;-0.000465118408203125;10 mA;WE(1).Potential < -0,1 V
