Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range;Cutoffs
120.129746696702;0.016009521484375;0;1;8.9752197265625E-05;10 mA;WE(1).Potential > 0,85 V , WE(1).Potential > 0,85 V , WE(1).Potential > 0,85 V , WE(1).Potential > 0,85 V
120.329746696197;0.032855224609375;0.199999999495049;2;9.1522216796875E-05;10 mA;
120.529746695692;0.0469024658203125;0.399999998990097;3;9.033203125E-05;10 mA;
120.729746695187;0.059295654296875;0.599999998485146;4;8.9874267578125E-05;10 mA;
120.929746694682;0.070465087890625;0.799999997980194;5;9.2193603515625E-05;10 mA;
121.129746694177;0.080718994140625;0.999999997475243;6;9.4207763671875E-05;10 mA;
121.329746693672;0.09027099609375;1.19999999697029;7;9.00878906249999E-05;10 mA;
121.529746693167;0.099212646484375;1.39999999646534;8;9.16442871093751E-05;10 mA;
121.729746692662;0.107666015625;1.59999999596039;9;8.9569091796875E-05;10 mA;
121.929746692157;0.115631103515625;1.79999999545544;10;9.23767089843749E-05;10 mA;
122.129746691652;0.12322998046875;1.99999999495049;11;9.173583984375E-05;10 mA;
122.329746691147;0.130462646484375;2.19999999444553;12;8.990478515625E-05;10 mA;
122.529746690642;0.137420654296875;2.39999999394058;13;9.36279296875001E-05;10 mA;
122.729746690137;0.144073486328125;2.59999999343563;14;8.9569091796875E-05;10 mA;
122.929746689632;0.150482177734375;2.79999999293068;15;9.0301513671875E-05;10 mA;
123.129746689127;0.156707763671875;2.99999999242573;16;9.4482421875E-05;10 mA;
123.329746688622;0.1627197265625;3.19999999192078;17;9.5184326171875E-05;10 mA;
123.529746688117;0.168548583984375;3.39999999141583;18;9.25598144531251E-05;10 mA;
123.729746687612;0.1741943359375;3.59999999091087;19;9.063720703125E-05;10 mA;
123.929746687107;0.179656982421875;3.79999999040592;20;8.99353027343749E-05;10 mA;
124.129746686603;0.185028076171875;3.99999998990097;21;9.2010498046875E-05;10 mA;
124.329746686098;0.19024658203125;4.19999998939602;22;9.1217041015625E-05;10 mA;
124.529746685593;0.1953125;4.39999998889107;23;8.984375E-05;10 mA;
124.729746685088;0.20025634765625;4.59999998838612;24;8.9874267578125E-05;10 mA;
124.929746684583;0.205078125;4.79999998788116;25;9.5367431640625E-05;10 mA;
125.129746684078;0.209808349609375;4.99999998737621;26;9.46044921875E-05;10 mA;
125.329746683573;0.214447021484375;5.19999998687126;27;9.112548828125E-05;10 mA;
125.529746683068;0.218994140625;5.39999998636631;28;9.1827392578125E-05;10 mA;
125.729746682563;0.223419189453125;5.59999998586136;29;9.13391113281251E-05;10 mA;
125.929746682058;0.22784423828125;5.79999998535641;30;9.14916992187501E-05;10 mA;
126.129746681553;0.232147216796875;5.99999998485146;31;8.97216796875E-05;10 mA;
126.329746681048;0.236328125;6.1999999843465;32;9.33837890625E-05;10 mA;
126.529746680543;0.240509033203125;6.39999998384155;33;9.16748046875E-05;10 mA;
126.729746680038;0.244598388671875;6.5999999833366;34;9.3353271484375E-05;10 mA;
126.929746679533;0.2486572265625;6.79999998283165;35;9.37499999999999E-05;10 mA;
127.129746679028;0.252593994140625;6.9999999823267;36;9.33837890625E-05;10 mA;
127.329746678523;0.256500244140625;7.19999998182175;37;9.3414306640625E-05;10 mA;
127.529746678018;0.2603759765625;7.3999999813168;38;9.0911865234375E-05;10 mA;
127.729746677513;0.264251708984375;7.59999998081184;39;8.99658203125001E-05;10 mA;
127.929746677008;0.267974853515625;7.79999998030689;40;9.1888427734375E-05;10 mA;
128.129746676503;0.271697998046875;7.99999997980194;41;9.4146728515625E-05;10 mA;
128.329746675999;0.275421142578125;8.19999997929699;42;9.0667724609375E-05;10 mA;
128.529746675494;0.279052734375;8.39999997879204;43;9.30175781250001E-05;10 mA;
128.729746674989;0.28265380859375;8.59999997828709;44;9.11560058593749E-05;10 mA;
128.929746674484;0.28619384765625;8.79999997778214;45;9.326171875E-05;10 mA;
129.129746673979;0.289703369140625;8.99999997727718;46;9.30175781250001E-05;10 mA;
129.329746673474;0.29315185546875;9.19999997677223;47;9.0057373046875E-05;10 mA;
129.529746672969;0.29656982421875;9.39999997626728;48;9.27124023437501E-05;10 mA;
129.729746672464;0.299957275390625;9.59999997576233;49;9.1827392578125E-05;10 mA;
129.929746671959;0.303314208984375;9.79999997525738;50;9.21630859375E-05;10 mA;
130.129746671454;0.306610107421875;9.99999997475243;51;9.08813476562501E-05;10 mA;
130.329746670949;0.309906005859375;10.1999999742475;52;9.02404785156249E-05;10 mA;
130.529746670444;0.313140869140625;10.3999999737425;53;9.0301513671875E-05;10 mA;
130.729746669939;0.31634521484375;10.5999999732376;54;9.37499999999999E-05;10 mA;
130.929746669434;0.319549560546875;10.7999999727326;55;9.37499999999999E-05;10 mA;
131.129746668929;0.322662353515625;10.9999999722277;56;9.173583984375E-05;10 mA;
131.329746668424;0.325714111328125;11.1999999717227;57;9.136962890625E-05;10 mA;
131.529746667919;0.32879638671875;11.3999999712178;58;9.033203125E-05;10 mA;
131.729746667414;0.331787109375;11.5999999707128;59;9.1217041015625E-05;10 mA;
131.929746666909;0.33477783203125;11.7999999702079;60;9.3658447265625E-05;10 mA;
132.129746666404;0.3377685546875;11.9999999697029;61;9.1278076171875E-05;10 mA;
132.3297466659;0.340728759765625;12.199999969198;62;9.02709960937501E-05;10 mA;
132.529746665395;0.343658447265625;12.399999968693;63;9.27734375E-05;10 mA;
132.72974666489;0.346527099609375;12.5999999681881;64;9.1400146484375E-05;10 mA;
132.929746664385;0.34942626953125;12.7999999676831;65;9.2041015625E-05;10 mA;
133.12974666388;0.352264404296875;12.9999999671782;66;9.04235839843751E-05;10 mA;
133.329746663375;0.3551025390625;13.1999999666732;67;9.368896484375E-05;10 mA;
133.52974666287;0.35791015625;13.3999999661683;68;9.3719482421875E-05;10 mA;
133.729746662365;0.360687255859375;13.5999999656633;69;9.4024658203125E-05;10 mA;
133.92974666186;0.363494873046875;13.7999999651583;70;9.2041015625E-05;10 mA;
134.129746661355;0.366241455078125;13.9999999646534;71;9.3719482421875E-05;10 mA;
134.32974666085;0.36895751953125;14.1999999641484;72;9.075927734375E-05;10 mA;
134.529746660345;0.37164306640625;14.3999999636435;73;9.0667724609375E-05;10 mA;
134.72974665984;0.374359130859375;14.5999999631385;74;9.0362548828125E-05;10 mA;
134.929746659335;0.377044677734375;14.7999999626336;75;9.04541015625E-05;10 mA;
135.12974665883;0.379730224609375;14.9999999621286;76;9.4024658203125E-05;10 mA;
135.329746658325;0.38238525390625;15.1999999616237;77;9.37499999999999E-05;10 mA;
135.52974665782;0.385040283203125;15.3999999611187;78;9.1583251953125E-05;10 mA;
135.729746657315;0.3876953125;15.5999999606138;79;9.3719482421875E-05;10 mA;
135.92974665681;0.390289306640625;15.7999999601088;80;9.16442871093751E-05;10 mA;
136.129746656305;0.39288330078125;15.9999999596039;81;9.246826171875E-05;10 mA;
136.3297466558;0.395538330078125;16.1999999590989;82;9.02709960937501E-05;10 mA;
136.529746655296;0.39813232421875;16.399999958594;83;9.063720703125E-05;10 mA;
136.729746654791;0.4007568359375;16.599999958089;84;9.228515625E-05;10 mA;
136.929746654286;0.403411865234375;16.7999999575841;85;9.356689453125E-05;10 mA;
137.129746653781;0.406036376953125;16.9999999570791;86;9.2041015625E-05;10 mA;
137.329746653276;0.40863037109375;17.1999999565742;87;9.0667724609375E-05;10 mA;
137.529746652771;0.4112548828125;17.3999999560692;88;9.3048095703125E-05;10 mA;
137.729746652266;0.413848876953125;17.5999999555643;89;9.05761718750001E-05;10 mA;
137.929746651761;0.41644287109375;17.7999999550593;90;9.0606689453125E-05;10 mA;
138.129746651256;0.4190673828125;17.9999999545544;91;9.31701660156251E-05;10 mA;
138.329746650751;0.42169189453125;18.1999999540494;92;9.05761718750001E-05;10 mA;
138.529746650246;0.42431640625;18.3999999535445;93;9.228515625E-05;10 mA;
138.729746649741;0.42694091796875;18.5999999530395;94;9.10339355468751E-05;10 mA;
138.929746649236;0.429534912109375;18.7999999525346;95;9.381103515625E-05;10 mA;
139.129746648731;0.432159423828125;18.9999999520296;96;9.26818847656249E-05;10 mA;
139.329746648226;0.434814453125;19.1999999515247;97;9.368896484375E-05;10 mA;
139.529746647721;0.43743896484375;19.3999999510197;98;9.326171875E-05;10 mA;
139.729746647216;0.440093994140625;19.5999999505148;99;9.228515625E-05;10 mA;
139.929746646711;0.442718505859375;19.7999999500098;100;9.1583251953125E-05;10 mA;
140.129746646206;0.44537353515625;19.9999999495049;101;9.222412109375E-05;10 mA;
140.329746645701;0.448028564453125;20.1999999489999;102;9.356689453125E-05;10 mA;
140.529746645196;0.45068359375;20.399999948495;103;9.33227539062501E-05;10 mA;
140.729746644692;0.45330810546875;20.59999994799;104;9.259033203125E-05;10 mA;
140.929746644187;0.45599365234375;20.799999947485;105;9.14306640625E-05;10 mA;
141.129746643682;0.458648681640625;20.9999999469801;106;9.19189453124999E-05;10 mA;
