Time (s);WE(1).Potential (V);Corrected time (s);Index;WE(1).Current (A);Current range
1308.60456069609;0.8416748046875;0;1;-2.68554687500006E-06;10 mA
1308.80456069559;0.83892822265625;0.199999999495049;2;-2.92968749999997E-06;10 mA
1309.00456069508;0.83648681640625;0.399999998990097;3;-2.86865234375003E-06;10 mA
1309.20456069458;0.8343505859375;0.599999998485146;4;-2.47192382812497E-06;10 mA
1309.40456069407;0.83251953125;0.799999997980194;5;-2.74658203125E-06;10 mA
1309.60456069357;0.8306884765625;0.999999997475243;6;-2.25830078125003E-06;10 mA
1309.80456069306;0.82916259765625;1.19999999697029;7;-2.96020507812494E-06;10 mA
1310.00456069256;0.82763671875;1.39999999646534;8;-2.77709960937497E-06;10 mA
1310.20456069205;0.82611083984375;1.59999999596039;9;-2.53295898437506E-06;10 mA
1310.40456069155;0.82489013671875;1.79999999545544;10;-2.80761718749994E-06;10 mA
1310.60456069104;0.8233642578125;1.99999999495049;11;-2.56347656250003E-06;10 mA
1310.80456069054;0.8221435546875;2.19999999444553;12;-2.593994140625E-06;10 mA
1311.00456069003;0.8209228515625;2.39999999394058;13;-2.53295898437506E-06;10 mA
1311.20456068953;0.8197021484375;2.59999999343563;14;-2.53295898437506E-06;10 mA
1311.40456068902;0.8184814453125;2.79999999293068;15;-2.62451171874997E-06;10 mA
1311.60456068852;0.81756591796875;2.99999999242573;16;-2.593994140625E-06;10 mA
1311.80456068801;0.81634521484375;3.19999999192078;17;-2.92968749999997E-06;10 mA
1312.00456068751;0.81512451171875;3.39999999141583;18;-2.96020507812494E-06;10 mA
1312.204560687;0.814208984375;3.59999999091087;19;-2.77709960937497E-06;10 mA
1312.4045606865;0.81298828125;3.79999999040592;20;-2.86865234375003E-06;10 mA
1312.60456068599;0.81207275390625;3.99999998990097;21;-2.899169921875E-06;10 mA
1312.80456068549;0.8111572265625;4.19999998939602;22;-2.92968749999997E-06;10 mA
1313.00456068498;0.8099365234375;4.39999998889107;23;-2.41088867187503E-06;10 mA
1313.20456068448;0.80902099609375;4.59999998838612;24;-2.62451171874997E-06;10 mA
1313.40456068397;0.80810546875;4.79999998788116;25;-2.56347656250003E-06;10 mA
1313.60456068347;0.80718994140625;4.99999998737621;26;-2.71606445312503E-06;10 mA
1313.80456068296;0.8062744140625;5.19999998687126;27;-2.92968749999997E-06;10 mA
1314.00456068246;0.8050537109375;5.39999998636631;28;-2.62451171874997E-06;10 mA
1314.20456068195;0.80413818359375;5.59999998586136;29;-2.68554687500006E-06;10 mA
